shipment_mass_release,shipment_status,shipment_pro,shipment_equipment_type_code,shipment_customer_ref_num,shipment_load_description,revenue_type_rev_type,customer name,carrier name,shipment_customer_total_rates,shipment_carrier_total_rates,shipment_gross_profit,shipment_net_margin,pick_stop_1_name,pickup,pick_stop_last_name,consignee,sales rep name,dispatcher assgn name,shipment_created_at,shipment_miles_truck,shipment_miles_customer,pick_stop_1_ready_or_deliver_date,pick_stop_1_location_zip,pick_stop_last_location_zip
false,RELEASED,12599,FTL,200995238,POD RCVD - FAK,B,BATORY FOODS,PYH EXPRESS INC,923.9,800.0,123.9,0.1341,BATORY FOODS WILMINGTON,"WILMINGTON, IL","RURAL ROUTE 1, INC","LIVINGSTON, WI",RYNE BANDOLIK,,2026-01-30 08:07:00 UTC,204,243,02/02/26,60481,53554
false,RELEASED,12600,TL,201090285,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,645.42,0.0,645.42,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2026-01-30 08:09:00 UTC,93,102,02/03/26,60609,53151
false,RELEASED,12601,TL,200582289,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,493.0,0.0,493.0,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",EAGLE FOODS,"WAUKEGAN, IL",IVAN CARTAGE CO,arciev1,2026-01-30 09:22:00 UTC,45,53,02/04/26,60609,60087
false,RELEASED,12602,FTL,201433808,POD RCVD - FAK,I,BATORY FOODS,IVAN CARTAGE CO,647.3,0.0,647.3,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-LIDNER,"WAUKESHA, WI",IVAN CARTAGE CO,arciev1,2026-01-30 09:24:00 UTC,104,110,02/04/26,60609,53186
true,RELEASED,12603,V,Transaction ID - R46520,FAK,B,AG POLYMERS,CES DEVELOPMENT INC,550.0,550.0,0.0,0.0,Logo Van Dyke,"PLAINFIELD, IL",CU PLASTICS,"ROCHELLE, IL",PERLA LOPEZ,,2026-01-30 14:41:08 UTC,62,62,01/30/26,60544,61068
false,RELEASED,12604,FTL,FR-108658,POD RCVD - FAK,B,THE ROYAL GROUP,BEKTESHI LOGISTICS INC,1295.0,1000.0,295.0,0.2278,TRG WAREHOUSE,"CICERO, IL",DOMTAR WISCONSIN PAPER DIV,"ROTHSCHILD, WI",RYNE BANDOLIK,arciev1,2026-01-30 05:43:00 UTC,265,278,01/30/26,60804,54474
true,RELEASED,12606,FT,,POD RCVD - SALT,B,XYNYTH MANUFACTURING CORP.,LEO TRANSPORT LTD,4000.0,3841.92,158.08,0.0395,CSR PARTNERS,"DAVIDSON, SK",BROOKLYN SHIP YARD,"BROOKLYN, NY",BRANDON KING,,2026-01-30 06:34:00 UTC,,,02/02/26,,
false,RELEASED,12607,STRA,FR-108659,POD RCVD - FAK,B,THE ROYAL GROUP,P&S E CARGO,1200.0,1050.0,150.0,0.125,THE ROYAL GROUP,"CICERO, IL",GPI Newton,"NEWTON, IA",RYNE BANDOLIK,,2026-01-30 17:08:00 UTC,297,297,01/30/26,60804,50208-1845
false,RELEASED,12608,FTL,201375987,POD RCVD - FAK,B,BATORY FOODS,PYH EXPRESS INC,725.0,525.0,200.0,0.2759,DYNAMICS 3PL,"WILMINGTON, IL",CROWN,"PLEASANT PRAIRIE, WI",RYNE BANDOLIK,arciev1,2026-01-30 14:55:00 UTC,99,104,02/02/26,60481,53158
true,RELEASED,12609,V,R46533,FAK,B,AG POLYMERS,JHR TRANSPORTATION INC,565.0,500.0,65.0,0.115,LOGOPLASTE DIAGEO,"PLAINFIELD, IL",CU PLASTICS,"ROCHELLE, IL",PERLA LOPEZ,,2026-01-30 20:59:51 UTC,62,62,02/02/26,60544,61068
